City,Country,Date,Latitude,Longitude,Humidity,Pressure,Temp,Max_Temp,Cloudiness,Wind_Speed
Saint-Ambroise,CA,1602183243,48.55,-71.33,52,1007,43.93,46.0,75,17.22
Kristiansund,NO,1602183243,63.11,7.73,87,1000,50.0,50.0,75,6.93
Bredasdorp,ZA,1602183243,-34.53,20.04,93,1015,57.2,57.2,100,14.99
Mar del Plata,AR,1602182977,-38.0,-57.56,37,1013,66.2,66.2,40,13.87
Palmer,US,1602183244,42.16,-72.33,40,1012,57.9,60.8,20,11.41
Mergen,CN,1602183244,49.18,125.22,76,1025,38.89,38.89,13,6.53
North Platte,US,1602183245,41.12,-100.77,46,1015,71.6,71.6,1,8.05
Ahmadpur Sial,PK,1602183245,30.68,71.75,61,1008,78.8,78.8,0,8.01
Bambous Virieux,MU,1602183246,-20.34,57.76,88,1018,74.17,75.0,40,6.93
Oddur,SO,1602183246,4.12,43.89,69,1012,75.63,75.63,97,6.89
Samarai,PG,1602183247,-10.62,150.67,78,1010,75.99,75.99,83,7.49
Norman Wells,CA,1602183247,65.28,-126.83,93,1009,37.4,37.4,90,2.24
Lorengau,PG,1602183248,-2.02,147.27,80,1007,79.83,79.83,100,1.45
Krasnosel'kup,RU,1602183249,65.7,82.47,97,1009,32.74,32.74,100,13.73
Ribeira Grande,PT,1602183072,38.52,-28.7,88,1022,71.6,71.6,40,8.05
Jamestown,US,1602183249,42.1,-79.24,58,1020,55.54,57.0,90,14.99
Canindé,BR,1602183249,-4.36,-39.31,19,1009,99.03,99.03,36,7.67
Chu,KZ,1602183250,43.6,73.76,48,1029,45.99,45.99,100,7.94
Kavieng,PG,1602183147,-2.57,150.8,75,1007,81.81,81.81,100,5.99
Chui,UY,1602183138,-33.7,-53.46,46,1017,59.54,59.54,0,8.43
Anadyr,RU,1602183250,64.75,177.48,95,980,32.0,32.0,90,13.42
Ahipara,NZ,1602183251,-35.17,173.17,78,1024,57.27,57.27,100,14.9
Mount Gambier,AU,1602183251,-37.83,140.77,93,1015,48.2,48.2,75,14.99
Bud,US,1602183251,39.45,-86.18,34,1019,75.96,77.0,0,2.53
Popondetta,PG,1602183251,-8.75,148.25,96,1010,72.03,72.03,50,1.32
Turtas,RU,1602183251,58.94,69.13,95,1030,30.69,30.69,63,6.96
Tuatapere,NZ,1602183252,-46.13,167.68,92,1031,35.01,35.01,4,4.94
Waipawa,NZ,1602183252,-41.41,175.52,71,1032,43.57,45.0,23,3.36
Hilo,US,1602182969,19.73,-155.09,57,1017,76.26,81.0,40,4.7
Newport,GB,1602183252,51.59,-3.0,83,1014,51.98,55.99,33,7.87
New Norfolk,AU,1602183252,-42.78,147.06,93,1001,50.18,52.0,100,2.26
Abu Kamal,SY,1602183252,34.45,40.92,25,1016,67.33,67.33,0,3.31
Córdoba,AR,1602183253,-31.41,-64.18,26,1014,80.13,82.0,0,8.05
Kruisfontein,ZA,1602183253,-34.0,24.73,85,1013,64.0,64.0,100,1.99
Pedernales,DO,1602183253,18.04,-71.74,70,1013,86.0,86.0,75,11.41
Paamiut,GL,1602183254,61.99,-49.67,84,1010,42.24,42.24,100,8.28
Hefei,CN,1602183254,31.86,117.28,93,1023,57.2,57.2,0,4.47
Paungde,MM,1602183254,18.48,95.5,96,1009,74.26,74.26,100,1.36
Saurimo,AO,1602183255,-9.66,20.39,78,1011,69.66,69.66,56,2.08
Aykhal,RU,1602183256,66.0,111.5,92,1009,24.8,24.8,90,6.71
Antofagasta,CL,1602183006,-23.65,-70.4,67,1016,65.86,68.0,20,13.87
Saint-Pierre,RE,1602183258,-21.34,55.48,88,1016,69.84,73.4,12,4.7
Fasa,IR,1602183258,28.94,53.65,29,1017,66.2,66.2,0,1.21
Maiduguri,NG,1602183259,11.85,13.16,57,1010,83.71,83.71,1,10.02
Severo-Kuril'sk,RU,1602183259,50.68,156.12,81,1017,46.08,46.08,21,14.25
Talnakh,RU,1602183259,69.49,88.4,100,1003,30.2,30.2,90,15.66
Mineral Wells,US,1602183259,32.81,-98.11,39,1018,82.76,84.0,1,8.05
Tuktoyaktuk,CA,1602183132,69.45,-133.04,97,1011,33.8,33.8,90,9.17
Allāpalli,IN,1602183260,19.42,80.07,94,1008,75.47,75.47,33,1.39
Te Anau,NZ,1602183260,-45.42,167.72,89,1029,35.2,35.2,51,1.32
Studina,RO,1602183260,43.97,24.42,87,1012,59.0,59.0,75,8.05
Haines Junction,CA,1602183260,60.75,-137.51,82,1006,38.61,38.61,100,2.95
Nemuro,JP,1602183176,43.32,145.57,67,1028,53.31,53.31,0,12.44
Kuytun,RU,1602183261,54.34,101.5,98,1022,29.77,29.77,87,2.8
Kargasok,RU,1602183261,59.06,80.86,97,1024,32.49,32.49,100,11.68
Arenápolis,BR,1602183261,-14.45,-56.85,13,1006,108.07,108.07,64,1.74
Winnemucca,US,1602182971,40.97,-117.74,15,1017,66.2,66.2,1,3.36
Idaho Falls,US,1602183262,43.47,-112.03,25,1017,64.4,64.4,1,11.41
Verkhnechusovskiye Gorodki,RU,1602183262,58.17,57.11,76,1035,38.26,38.26,100,6.64
Moose Factory,CA,1602183262,51.26,-80.61,56,1015,44.6,44.6,75,11.41
Bonthe,SL,1602183262,7.53,-12.51,84,1012,79.27,79.27,29,6.35
Constitución,CL,1602183263,-35.33,-72.42,56,1023,59.47,59.47,97,18.32
Springbok,ZA,1602183263,-29.66,17.89,79,1016,51.17,51.17,0,7.07
Omboué,GA,1602183263,-1.57,9.26,85,1012,77.0,77.0,34,7.52
Abhā,SA,1602183263,18.22,42.51,22,1027,70.65,71.6,0,10.29
Bariloche,AR,1602183263,-41.15,-71.31,53,1017,51.8,51.8,40,36.91
Boden,SE,1602183264,65.83,21.69,93,1006,51.8,51.8,90,10.29
Lewisville,US,1602183264,33.05,-96.99,45,1018,84.81,86.0,5,3.36
Lagoa,PT,1602183265,39.05,-27.98,79,1021,70.74,70.74,0,2.59
Alyangula,AU,1602183265,-13.85,136.42,94,1010,69.8,69.8,83,7.85
Bushehr,IR,1602183266,28.97,50.84,33,1011,91.4,91.4,0,19.46
College,US,1602183266,64.86,-147.8,64,998,39.58,43.0,75,6.93
General Roca,AR,1602183267,-39.03,-67.58,28,1016,69.8,69.8,33,14.99
Rocha,UY,1602183268,-34.48,-54.33,45,1017,60.71,60.71,0,7.76
Kumul,CN,1602183268,42.8,93.45,49,1022,43.92,43.92,0,1.01
Saskylakh,RU,1602183269,71.92,114.08,91,1004,11.26,11.26,59,9.08
Ostrovnoy,RU,1602183269,68.05,39.51,88,1015,48.49,48.49,92,12.19
Lavrentiya,RU,1602183269,65.58,-171.0,93,984,40.48,40.48,100,21.59
Yekaterinoslavka,RU,1602183269,50.37,129.11,77,1028,37.83,37.83,0,5.41
Pisco,PE,1602183102,-13.7,-76.22,72,1014,68.0,68.0,4,9.17
Kholmogory,RU,1602183270,64.22,41.66,100,1018,50.0,50.0,90,2.51
Aklavik,CA,1602183002,68.22,-135.01,100,1009,35.6,35.6,90,8.05
Bulawayo,ZW,1602183270,-20.15,28.58,81,1014,65.57,65.57,100,7.87
Cairns,AU,1602182971,-16.92,145.77,88,1013,64.56,66.2,100,11.41
Indianola,US,1602183270,41.36,-93.56,32,1015,74.16,75.0,0,12.24
Nyimba,ZM,1602183270,-14.56,30.81,65,1013,75.47,75.47,100,0.94
Zwedru,LR,1602183271,6.07,-8.13,89,1013,73.31,73.31,98,4.14
Léo,BF,1602183271,11.1,-2.1,55,1010,81.99,81.99,4,2.26
Vestmannaeyjar,IS,1602183271,63.44,-20.27,87,1003,42.8,42.8,20,11.41
Ponta do Sol,PT,1602183271,32.67,-17.1,78,1022,69.21,73.4,75,2.24
Solwezi,ZM,1602183271,-12.17,26.39,80,1013,65.39,65.39,100,4.83
Weinan,CN,1602183272,34.5,109.51,100,1026,56.7,57.0,40,3.58
Flinders,AU,1602183272,-34.58,150.86,76,1007,52.59,53.01,3,1.01
Pokhara,NP,1602183272,28.23,83.98,63,1016,68.23,68.23,0,3.22
Villacarrillo,ES,1602183272,38.12,-3.08,51,1020,70.0,70.0,51,1.77
Niterói,BR,1602183272,-22.88,-43.1,83,1009,79.59,80.6,75,6.93
Yacuiba,BO,1602183272,-22.04,-63.68,37,1009,96.8,96.8,0,9.17
Hailun,CN,1602183273,47.45,126.93,83,1024,43.84,43.84,100,7.78
Ilulissat,GL,1602183273,69.22,-51.1,89,1013,32.0,32.0,20,5.82
Galle,LK,1602183273,6.04,80.22,81,1010,79.99,79.99,79,9.91
Campbell River,CA,1602183130,50.02,-125.24,87,1010,56.68,57.2,90,2.24
Botevgrad,BG,1602183273,42.9,23.78,87,1016,51.26,51.8,90,13.87
Ensley,US,1602183222,30.52,-87.27,74,1017,85.82,87.01,75,9.17
Hanko,FI,1602183274,59.83,22.95,89,1012,54.84,55.99,92,3.0
George Town,MY,1602183274,5.41,100.34,94,1007,77.63,78.8,40,3.36
Kaseda-shirakame,JP,1602183275,31.42,130.32,79,1010,70.3,70.3,87,16.46
Pangnirtung,CA,1602183275,66.15,-65.71,74,1002,35.6,35.6,90,13.87
Onega,RU,1602183276,63.91,38.14,95,1018,48.0,48.0,88,5.23
El Alto,PE,1602183276,-4.27,-81.21,64,1014,75.2,75.2,79,13.87
Hamilton,US,1602183155,39.18,-84.53,33,1021,74.34,75.99,1,5.82
Rumoi,JP,1602183279,43.93,141.64,60,1028,51.93,51.93,87,5.53
Tual,ID,1602183279,-5.67,132.75,83,1008,80.08,80.08,100,15.28
Quatre Cocos,MU,1602183279,-20.21,57.76,88,1018,74.25,75.0,40,6.93
Berlevåg,NO,1602183279,70.86,29.09,81,1008,50.0,50.0,40,13.87
Cabo San Lucas,MX,1602183143,22.89,-109.91,52,1013,92.48,95.0,5,8.05
Tena,EC,1602183280,-0.98,-77.82,83,1018,77.0,77.0,90,4.7
Pilibanga,IN,1602183280,29.49,74.08,20,1008,80.91,80.91,0,4.76
Havelock,US,1602183280,34.88,-76.9,48,1017,82.09,84.0,1,8.05
Maromitsa,RU,1602183280,59.87,48.01,75,1026,49.21,49.21,95,8.08
Xining,CN,1602183280,36.62,101.77,63,1022,43.27,43.27,14,2.13
Ambatondrazaka,MG,1602183281,-17.83,48.42,85,1016,69.06,69.06,3,6.22
Galveston,US,1602183281,29.37,-94.97,78,1014,79.63,81.0,75,13.87
Pochutla,MX,1602183281,15.74,-96.47,66,1013,86.18,88.0,90,6.91
Deputatsky,RU,1602183281,69.3,139.9,97,1014,18.79,18.79,92,4.79
Bangkalan,ID,1602183281,-7.05,112.74,75,1008,80.26,80.26,100,3.71
San Ignacio,BZ,1602183007,17.16,-89.07,66,1013,89.33,91.0,40,4.7
Kachīry,KZ,1602183282,53.07,76.1,84,1037,33.31,33.31,96,7.54
Provideniya,RU,1602183282,64.38,-173.3,94,978,41.14,41.14,100,17.02
Port Moresby,PG,1602183282,-9.44,147.18,76,1010,74.57,74.57,100,9.17
Taltal,CL,1602183282,-25.4,-70.48,44,1015,69.1,69.1,68,7.81
Aswān,EG,1602183282,24.09,32.91,15,1010,93.42,93.42,7,11.54
Los Alamos,US,1602183282,35.89,-106.31,9,1025,73.9,75.99,1,4.7
Kanniyākumāri,IN,1602183283,8.08,77.57,84,1009,79.75,79.75,84,15.95
Antequera,ES,1602183283,37.02,-4.56,53,1022,71.17,72.0,12,4.7
Sur,OM,1602183283,22.57,59.53,52,1010,79.57,79.57,0,7.81
Beira,MZ,1602183283,-19.84,34.84,69,1015,73.2,73.4,20,13.87
Shelburne,CA,1602183283,44.08,-80.2,87,1019,51.93,52.0,90,5.82
Clyde River,CA,1602183284,70.47,-68.59,100,1013,21.2,21.2,75,9.17
Butaritari,KI,1602183284,3.07,172.79,80,1010,81.9,81.9,0,15.73
Rokytne,UA,1602183284,51.28,27.21,98,1017,58.37,58.37,100,3.36
Shingū,JP,1602183285,33.73,135.98,92,1017,67.17,67.17,100,27.89
Maceió,BR,1602183053,-9.67,-35.74,66,1013,84.2,84.2,20,16.11
Osa,RU,1602183286,57.28,55.46,79,1036,41.86,41.86,100,8.7
Qui Nhon,VN,1602183286,13.77,109.23,87,1007,78.21,78.21,100,3.0
Mahébourg,MU,1602183287,-20.41,57.7,88,1018,73.4,73.4,40,6.93
Visnes,NO,1602183287,59.36,5.22,93,1001,49.73,51.01,75,13.87
Río Gallegos,AR,1602183288,-51.62,-69.22,51,1002,57.2,57.2,40,23.04
Mount Isa,AU,1602183289,-20.73,139.5,22,1015,69.8,69.8,0,14.99
Krasnogvardeyets,RU,1602183289,52.68,52.36,58,1041,43.14,43.14,25,9.19
Madimba,TZ,1602183289,-10.4,40.33,88,1013,75.2,75.2,20,5.82
Frontera,MX,1602183289,26.93,-101.45,47,1014,80.6,80.6,5,7.05
Arraial do Cabo,BR,1602183290,-22.97,-42.03,88,1011,77.0,77.0,75,8.05
Huoqiu,CN,1602183290,32.34,116.27,85,1022,59.88,59.88,0,5.91
Saint Paul Harbor,US,1602183290,57.79,-152.41,93,986,48.2,48.2,90,3.36
Plettenberg Bay,ZA,1602183290,-34.05,23.37,86,1014,60.35,60.35,100,7.65
Sand Springs,US,1602182993,36.14,-96.11,33,1018,86.14,87.8,1,5.82
Madera,US,1602183291,37.17,-119.83,31,1013,75.15,79.0,100,1.99
Colares,PT,1602183291,38.8,-9.45,77,1021,66.22,69.01,20,17.22
Rādhanpur,IN,1602183291,23.83,71.6,51,1009,83.66,83.66,0,5.82
José Bonifácio,BR,1602183291,-21.05,-49.69,25,1006,97.14,97.14,95,6.91
Oktyabr'skoye,RU,1602183291,43.06,44.74,93,1026,48.09,48.2,0,6.71
Povenets,RU,1602183291,62.85,34.83,95,1017,52.23,52.23,100,7.78
Mogadishu,SO,1602183140,2.04,45.34,85,1012,79.48,79.48,0,11.3
Airai,TL,1602183292,-8.93,125.41,100,1008,61.18,61.18,100,2.59
Padang,ID,1602183292,-0.95,100.35,86,1010,75.49,75.49,100,5.61
Umm Kaddadah,SD,1602183292,13.6,26.69,15,1008,93.78,93.78,0,10.85
Flin Flon,CA,1602183292,54.77,-101.86,75,1011,42.8,42.8,90,6.93
Gizo Government Station,SB,1602183293,-8.1,156.84,80,1008,81.57,81.57,27,14.65
Namatanai,PG,1602183152,-3.67,152.43,79,1007,79.66,79.66,79,4.52
Tautira,PF,1602183293,-17.73,-149.15,69,1017,82.2,82.4,20,5.82
Bubaque,GW,1602183293,11.28,-15.83,78,1012,83.32,83.32,100,8.72
Alta Floresta,BR,1602183065,-9.88,-56.09,21,1007,100.58,100.58,80,2.51
Corn Island,NI,1602183294,12.17,-83.04,72,1009,81.73,81.73,100,3.24
Necochea,AR,1602183294,-38.55,-58.74,56,1012,60.01,60.01,85,4.0
Imbituba,BR,1602183065,-28.24,-48.67,73,1013,69.8,69.8,75,2.24
Chokurdakh,RU,1602183130,70.63,147.92,99,1011,23.77,23.77,94,7.94
Dikson,RU,1602183295,73.51,80.55,94,1012,31.78,31.78,98,18.88
Ancud,CL,1602183296,-41.87,-73.82,93,1021,48.72,51.8,75,6.93
Bandarbeyla,SO,1602183296,9.49,50.81,82,1011,79.05,79.05,77,9.84
Lanxi,CN,1602183297,29.22,119.48,87,1021,60.58,60.58,24,3.49
Tadine,NC,1602183297,-21.55,167.88,85,1014,71.82,71.82,38,10.54
Sisimiut,GL,1602183298,66.94,-53.67,73,1010,36.73,36.73,100,12.21
Hervey Bay,AU,1602183299,-25.3,152.85,74,1012,69.01,69.01,0,3.0
Poum,NC,1602183299,-20.23,164.02,76,1013,73.17,73.17,4,9.26
Hithadhoo,MV,1602183154,-0.6,73.08,73,1011,82.47,82.47,89,5.97
Kutum,SD,1602183299,14.2,24.67,25,1010,82.9,82.9,32,3.42
Todos Santos,MX,1602183299,23.45,-110.22,79,1009,83.03,84.0,0,5.99
Suez,EG,1602183300,29.97,32.53,48,1012,81.63,81.63,3,10.27
Bāneh,IR,1602183300,36.0,45.89,75,1022,46.8,46.8,0,6.58
Yulara,AU,1602183135,-25.24,130.99,54,1019,53.6,53.6,0,8.05
Coquimbo,CL,1602183300,-29.95,-71.34,63,1018,62.6,62.6,43,17.22
Vila Franca do Campo,PT,1602183300,37.72,-25.43,83,1023,71.6,71.6,40,5.82
Erenhot,CN,1602183301,43.65,111.98,42,1018,48.29,48.29,0,12.35
Hong Kong,HK,1602183083,22.29,114.16,70,1015,72.68,75.99,71,1.99
Kawalu,ID,1602183301,-7.38,108.21,91,1009,72.18,72.18,100,1.54
Port Macquarie,AU,1602183301,-31.43,152.92,99,1010,58.48,59.0,1,5.19
Kenitra,MA,1602183301,34.26,-6.58,100,1018,66.2,66.2,75,4.12
Naze,JP,1602183302,28.37,129.48,88,1010,75.2,75.2,90,16.11
Karratha,AU,1602183302,-20.74,116.85,52,1011,59.92,59.92,0,2.51
Rome,US,1602183302,43.21,-75.46,50,1018,52.16,53.6,90,20.8
Bar,UA,1602183302,49.08,27.68,91,1015,59.54,59.54,100,7.56
Vostok,RU,1602183302,46.49,135.88,97,1031,32.16,32.16,11,4.59
Huinan,CN,1602183303,42.62,126.26,65,1027,51.26,51.26,100,3.36
Bossangoa,CF,1602183303,6.49,17.46,96,1012,68.14,68.14,93,5.55
Smithers,CA,1602183303,54.78,-127.17,93,1011,39.2,39.2,90,3.36
Dongli,CN,1602183303,23.57,116.82,83,1016,69.8,69.8,20,2.24
Montijo,PT,1602183303,38.71,-8.97,68,1020,69.06,71.6,7,8.05
Vallenar,CL,1602183304,-28.57,-70.76,10,1017,90.88,90.88,0,10.83
Fábiánsebestyén,HU,1602183304,46.68,20.47,96,1017,55.49,55.99,0,8.55
Souillac,MU,1602183304,-20.52,57.52,88,1018,73.4,73.4,40,6.93
Touros,BR,1602183305,-5.2,-35.46,55,1012,86.0,86.0,99,13.87
Lamu,KE,1602183305,-2.27,40.9,88,1012,77.0,77.0,1,4.7
Mayor Pablo Lagerenza,PY,1602183306,-19.93,-60.77,14,1003,109.02,109.02,0,13.87
Ludvika,SE,1602183306,60.15,15.19,87,1004,50.92,51.8,100,8.05
